"","x","y","type"
"520","6.9","6.9","centerDot"
"521","8.3","11","centerDot"
"522","9","9.9","centerDot"
"523","1.5","3.1","centerDot"
"524","10.3","11.2","centerDot"
"525","4.3","10.5","centerDot"
"526","8.8","10.5","centerDot"
"527","6.6","2","centerDot"
"528","3.8","4.6","centerDot"
"529","10.1","7.6","centerDot"
"530","11.7","1.9","centerDot"
"531","8.7","8.2","centerDot"
"532","3.2","4.2","centerDot"
"533","0.3","0.4","centerDot"
"534","8.5","1.6","centerDot"
"535","3.9","4.9","centerDot"
"536","6.8","6.8","centerDot"
"537","13","12.9","centerDot"
"538","3.5","11","centerDot"
"539","8.6","9.7","centerDot"
"540","10.1","11.6","centerDot"
"541","3.8","12.6","centerDot"
"542","13.4","6.7","centerDot"
"543","8.3","9.7","centerDot"
"544","9.8","10.8","centerDot"
"545","10.3","4.7","centerDot"
"546","2.7","4.5","centerDot"
"547","2.5","11.1","centerDot"
"548","10.7","12.2","centerDot"
"549","3.1","10.1","centerDot"
"550","13.4","13.6","centerDot"
"551","6.8","5.7","centerDot"
"552","6.9","9.1","centerDot"
"553","12.4","10.3","centerDot"
"554","12.4","10.3","centerDot"
"555","10.2","11","centerDot"
"556","9","4.8","centerDot"
"557","1.8","3.2","centerDot"
"558","11.6","9.5","centerDot"
"559","7","6.8","centerDot"
"560","11.2","11.7","centerDot"
"561","10.1","4.7","centerDot"
"562","0.1","0.2","centerDot"
"563","13.3","13.1","centerDot"
"564","12","12","centerDot"
"565","11.2","2.6","centerDot"
"566","0.4","4","centerDot"
"567","4.2","11.3","centerDot"
"568","0.1","0.1","centerDot"
"569","2.1","5.3","centerDot"
"570","6.9","8.1","centerDot"
"571","10.4","10.4","centerDot"
"572","13.1","10.1","centerDot"
"573","2.3","5.3","centerDot"
"574","5.6","11.2","centerDot"
"575","2.1","11.6","centerDot"
"576","10.8","7.9","centerDot"
"577","6.8","7.4","centerDot"
"578","7.6","10.6","centerDot"
"579","9.1","10.5","centerDot"
"580","10.9","3.6","centerDot"
"581","8.8","9.9","centerDot"
"582","3.9","4.3","centerDot"
"583","2.4","5.9","centerDot"
"584","4.1","10.6","centerDot"
"585","7.9","8","centerDot"
"586","8.1","5.4","centerDot"
"587","1.7","5.2","centerDot"
"588","9.8","10.4","centerDot"
"589","10.8","2.7","centerDot"
"590","6.3","0.1","centerDot"
"591","6.9","6.9","centerDot"
"592","13","12.5","centerDot"
"593","0.2","0.1","centerDot"
"594","5.6","10.6","centerDot"
"595","2.6","12.1","centerDot"
"596","2.6","10.9","centerDot"
"597","13.4","8.9","centerDot"
"598","9.9","7.1","centerDot"
"599","12.6","7.6","centerDot"
"600","10.7","3.5","centerDot"
"601","13.7","0.1","centerDot"
"602","7.1","6.9","centerDot"
"603","10.3","7.6","centerDot"
"604","7.3","6.9","centerDot"
"605","9.1","10.2","centerDot"
"606","3.3","3.8","centerDot"
"607","11.3","1.6","centerDot"
"608","0.2","13.7","centerDot"
"609","9.9","8.7","centerDot"
"610","3.1","3.9","centerDot"
"611","4.5","8.9","centerDot"
"612","1.9","3.6","centerDot"
"613","9.3","11.3","centerDot"
"614","8.3","10.5","centerDot"
"615","11.9","12.1","centerDot"
"616","3.6","11.5","centerDot"
"617","10.5","11.9","centerDot"
"618","7.1","7.2","centerDot"
"619","7.2","10.9","centerDot"
"620","6.9","6.9","centerDot"
"621","10.8","11.2","centerDot"
"622","12.2","12.9","centerDot"
"623","1.4","1.5","centerDot"
"624","7.4","11.4","centerDot"
"625","10.8","1.5","centerDot"
"626","0.2","6.2","centerDot"
"627","7.2","7","centerDot"
"628","11.9","10","centerDot"
"629","8.3","13.1","centerDot"
"630","3.4","11.4","centerDot"
"631","11.9","1.4","centerDot"
"632","1.2","2.9","centerDot"
"633","10.5","9.6","centerDot"
"634","0.4","3.3","centerDot"
"635","2.1","9.7","centerDot"
"636","7.7","7.6","centerDot"
"637","6.9","6.9","centerDot"
"638","7.1","7.1","centerDot"
"639","3.2","11.1","centerDot"
"640","0.8","13.2","centerDot"
"641","13.5","13.7","centerDot"
"642","13.6","13.8","centerDot"
"643","2.8","11.9","centerDot"
"644","10.4","2.9","centerDot"
"645","6.9","6.9","centerDot"
"646","12.7","13.5","centerDot"
"647","9.6","10.6","centerDot"
"648","10.1","10.3","centerDot"
"649","1.6","11.8","centerDot"
"650","8.9","5.4","centerDot"
"651","13.6","8.7","centerDot"
"652","1.9","11.1","centerDot"
"653","0.1","0.1","centerDot"
"654","13.5","6.9","centerDot"
"655","2.7","8.6","diagDot"
"656","3","9.1","diagDot"
"657","0.1","14.9","diagDot"
"658","0.3","0.3","diagDot"
